feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
position_control_deviation_axis_y__crest_factor__rel,0.19252909179706457,0.2740621250393036,0.4589042635802558,0.6866774773989448,0.9111266448404969,domain_id,False,115,
torque_spindle__mean__rel,0.1388576282867886,0.6468310786022347,0.3507280855445475,0.09510618758069023,0.9110924602244594,domain_id,False,116,
torque_spindle__energy__rank,0.23991935823452448,0.4798712749619436,0.24958309444111706,0.1554840572987924,0.9095484341532131,domain_id,False,117,
position_control_deviation_axis_y__kurtosis__rank,0.2335819174351197,0.312715366367029,0.3814844903926451,1.178493607782344,0.9060179653439633,domain_id,False,118,
torque_spindle__spectral_skewness__rel,0.13429406888661033,0.4363782746781517,0.4799997560066227,0.7707332823326549,0.9018163820900971,domain_id,False,119,
position_control_deviation_axis_y__spectral_rms__rank,0.2393425592290508,0.33015449460427204,0.32899022651211207,0.5708351365368175,0.8979738013258909,domain_id,False,120,
force_sensor_y__variance__rank,0.21314275205221245,0.8385103418620732,0.13013956200904453,0.6209062724228984,0.8955922595193513,domain_id,False,121,
force_sensor_x__spectral_kurtosis__rel,0.171015850313758,0.7111368593788585,0.24344655491174463,0.046805238744408305,0.8951748096390678,domain_id,False,122,
torque_spindle__rms__rank,0.2321252552134958,0.4765990161404363,0.24925494099767947,0.1553587409041547,0.8935334688738261,domain_id,False,123,
force_sensor_y__total_power__rank,0.21885764675395603,0.8049616459041813,0.12884495111097521,0.6224854856378224,0.8883411884298136,domain_id,False,124,
