eta,fine_weight,temperature,mid_floor,late_tau,early_tau,order_blend,val_Acc,val_Macro_F1,val_E_F1,val_M_F1,val_L_F1,val_M_Pre,val_M_Rec,val_M_to_E,val_M_to_L,val_n_middle_true,val_Rev,val_Jump,val_Smooth,val_q_MAE,val_q_RMSE,val_q_R2,val_Spearman,val_Pearson,val_q_Smooth,val_score
0.65,0.3,1.2,0.12,0.72,0.34,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019416618824142574,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
0.65,0.3,1.2,0.04,0.72,0.38,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019569617677731202,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
0.65,0.3,1.2,0.08,0.72,0.34,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019416618824142574,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
0.65,0.3,1.2,0.08,0.72,0.38,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019569617677731202,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
0.65,0.3,1.2,0.12,0.72,0.38,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019569617677731202,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
0.55,0.2,1.2,0.08,0.72,0.42,0.25,0.7672188317349607,0.7554479282752528,0.9371428571428572,0.7514231499051234,0.5777777777777777,0.6356340288924559,0.9187935034802784,0.06960556844547564,0.01160092807424594,431,4,0,0.019804751404366227,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6644628042407482
0.55,0.2,1.2,0.12,0.72,0.42,0.25,0.7672188317349607,0.7554479282752528,0.9371428571428572,0.7514231499051234,0.5777777777777777,0.6356340288924559,0.9187935034802784,0.06960556844547564,0.01160092807424594,431,4,0,0.019804751404366227,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6644628042407482
0.55,0.2,1.2,0.04,0.72,0.42,0.25,0.7672188317349607,0.7554479282752528,0.9371428571428572,0.7514231499051234,0.5777777777777777,0.6356340288924559,0.9187935034802784,0.06960556844547564,0.01160092807424594,431,4,0,0.019804751404366227,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6644628042407482
0.55,0.1,1.2,0.12,0.72,0.34,0.5,0.7724498692240628,0.7640973908861786,0.9325681492109039,0.7543186180422264,0.6054054054054054,0.6432078559738135,0.9118329466357309,0.06960556844547564,0.018561484918793503,431,3,0,0.019128606387150797,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6658955291987249
0.55,0.1,1.2,0.08,0.72,0.34,0.5,0.7724498692240628,0.7640973908861786,0.9325681492109039,0.7543186180422264,0.6054054054054054,0.6432078559738135,0.9118329466357309,0.06960556844547564,0.018561484918793503,431,3,0,0.019128606387150797,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6658955291987249
