Split_type,Task,Seed,Phase,Score,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
original,N1,2026,random200,0.6363828143286586,0.85,0.2,2.0,0.01,0.32,0.75,0.0,0.45,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.10771482089176722,3,0.5,1.0,0.875
original,N1,2026,random200,0.611942613123664,0.8,0.1,2.0,0.02,0.28,0.65,0.1,0.22,B12,0.8333333333333334,0.7710727969348659,0.7708333333333334,0.6666666666666666,0.7499999999999999,0.896551724137931,0.5,1.0,0.8125,0.6,0.0,0.0,0.5,0.1875,0,0,0.10918836085841262,3,0.5,1.0,0.8125
original,N1,2026,random200,0.7300991523133429,0.75,0.05,0.8,0.0,0.36,0.75,0.15,0.35,B12,0.875,0.8988505747126437,0.9375,1.0,0.8,0.896551724137931,1.0,1.0,0.8125,0.6666666666666666,0.0,0.0,0.0,0.1875,0,0,0.2002871765429829,3,1.0,1.0,0.8125
original,N1,2026,random200,0.6977094180024896,0.9,0.1,1.2,0.0,0.28,0.7,0.15,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.17790336678029237,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6985193207001351,0.85,0.0,1.2,0.01,0.4,0.7,0.03,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.16777958305972443,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6326097784595889,0.75,0.05,1.2,0.0,0.32,0.65,0.08,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.1548777692551399,3,0.5,1.0,0.875
original,N1,2026,random200,0.7256380132155015,0.9,0.05,0.8,0.01,0.4,0.55,0.03,0.28,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.2324762236951205,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,0.6941256144991572,0.85,0.3,0.8,0.01,0.45,0.65,0.03,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.22270091057194819,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7002762758507862,0.9,0.2,1.5,0.01,0.36,0.75,0.05,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.14581764367658503,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6361831762501144,0.85,0.0,2.0,0.01,0.45,0.7,0.0,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.1102102968735699,3,0.5,1.0,0.875
