Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
original,N4,2026,b11_sample_08,0.5264610499765208,8,0.554074074074074,0.6174242424242424,0.6399999999999999,1.0,0.08559105793635051,0.8876678876678876,0.8743343196284682,b11_sample_08,6,30,16,0.001,0.1,0.0001,"(32, 64)",32,0.5,0.1,0.05
original,N4,2026,b11_sample_09,0.32101489898902896,18,0.3680555555555555,0.4222222222222222,0.25,0.25,0.11508506646862736,0.885650723025584,0.8137068041686718,b11_sample_09,5,60,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.1,0.0
original,N4,2026,b11_sample_10,0.5115824295935653,34,0.6246428756947692,0.6597222222222222,0.5555555555555556,0.625,0.3285665698349476,0.920978120978121,0.7447073219968086,b11_sample_10,3,30,16,0.0005,0.2,0.0001,"(16, 32)",32,0.5,0.1,0.02
original,N4,2026,b11_sample_11,0.43644260794030715,32,0.5074074074074074,0.5530303030303031,0.5,0.625,0.2764839365069444,0.8913308913308913,0.8905012479635329,b11_sample_11,6,60,8,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
original,N4,2026,b11_sample_12,0.21311656286664812,14,0.2657342657342657,0.3666666666666667,0.0,0.0,0.08229869714489689,0.8157953281423804,0.8081596043583933,b11_sample_12,5,60,8,0.0005,0.3,0.0001,"(32, 32)",16,0.5,0.1,0.02
original,N4,2026,b11_sample_13,0.4493102456063735,9,0.574980574980575,0.6222222222222222,0.5454545454545454,0.75,0.1059817158513599,0.3512791991101224,0.3593345562286684,b11_sample_13,5,20,8,0.0005,0.1,0.0001,"(32, 32)",16,0.1,0.05,0.02
original,N4,2026,b11_sample_14,0.4250184273746391,43,0.5260141093474426,0.5902777777777778,0.5185185185185185,0.875,0.46872898475020053,0.5925353925353926,0.6065918485667074,b11_sample_14,3,30,8,0.001,0.3,0.0001,"(16, 32)",32,0.5,0.2,0.02
stagebalanced,N1b,2026,b11_tiny_L3_k20,0.3961167832382315,3,0.5758424581953995,0.5715811965811967,0.4761904761904762,0.4166666666666667,0.03632568717002869,0.06651069518716578,0.12808208337373403,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
stagebalanced,N1b,2026,b11_small_L4_k30_qweak,0.39766331434298025,10,0.5949074074074074,0.6196581196581197,0.2222222222222222,0.16666666666666666,0.2004398111667898,0.839377085650723,0.7896157459237592,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
stagebalanced,N1b,2026,b11_mid_L5_k45,0.4772810331640154,10,0.7222222222222223,0.7286324786324787,0.5,0.4166666666666667,0.04648148765166601,0.1398046398046398,0.17220216820650283,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
