Setting,Task,Method,Stage,Precision,Recall,F1-score,Support
Single-source,S6_C6_to_C4,B9,weighted avg,0.8704301627023913,0.8453947368421053,0.8467688500508389,304.0
Single-source,S6_C6_to_C4,B10,early,0.6885245901639344,1.0,0.8155339805825242,84.0
Single-source,S6_C6_to_C4,B10,middle,0.8392857142857143,0.7121212121212122,0.7704918032786885,132.0
Single-source,S6_C6_to_C4,B10,late,1.0,0.7954545454545454,0.8860759493670886,88.0
Single-source,S6_C6_to_C4,B10,macro avg,0.8426034348165495,0.835858585858586,0.8240339110761004,304.0
Single-source,S6_C6_to_C4,B10,weighted avg,0.8441505916430421,0.8157894736842105,0.8163962366645483,304.0
Single-source,S6_C6_to_C4,B11,early,0.7706422018348624,1.0,0.8704663212435233,84.0
Single-source,S6_C6_to_C4,B11,middle,0.7133333333333334,0.8106060606060606,0.7588652482269503,132.0
Single-source,S6_C6_to_C4,B11,late,1.0,0.5113636363636364,0.6766917293233082,88.0
Single-source,S6_C6_to_C4,B11,macro avg,0.8279918450560654,0.7739898989898989,0.7686744329312606,304.0
Single-source,S6_C6_to_C4,B11,weighted avg,0.8121511347175279,0.7763157894736842,0.7659153155620544,304.0
Single-source,S6_C6_to_C4,B12,early,0.8484848484848485,1.0,0.9180327868852459,84.0
Single-source,S6_C6_to_C4,B12,middle,0.7048192771084337,0.8863636363636364,0.785234899328859,132.0
Single-source,S6_C6_to_C4,B12,late,1.0,0.4431818181818182,0.6141732283464567,88.0
Single-source,S6_C6_to_C4,B12,macro avg,0.8511013751977607,0.7765151515151515,0.7724803048535206,304.0
Single-source,S6_C6_to_C4,B12,weighted avg,0.8299633942468438,0.7894736842105263,0.7724112003429549,304.0
