Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,31,0.8574561403508771,0.8604267013493971,0.8587805840979358,0.7991794944732639,0.9233200254769914,0.9350531383413571,0.7119624910322585,0.16596194503171122,0.12207556393602799,1.0,0.0,0.022476623380982202,0.107014060381805,0.1289940556416151,0.693480458890039,0.9464287736426265
PHM2010,B9_DC_PHSR,32,0.7456140350877193,0.6713495530618262,0.631815503403434,0.7779842368123132,0.6042489189697311,0.7584220686219565,0.8770863887142957,0.01808785529715747,0.10482575598854577,0.6666666666666666,0.0,0.017816412788772402,0.1447577045496183,0.1653827995590797,0.4252053842763304,0.8176890480365325
PHM2010,B9_DC_PHSR,33,0.8344298245614036,0.839070685961066,0.8352357530529172,0.7647248681731441,0.917251436657137,0.9156429156429157,0.672513951583719,0.216584449142587,0.11090159927369136,0.3333333333333333,0.0,0.018892850005159,0.12214232240728069,0.15012826047255992,0.5726309522226782,0.6300152692591661
PHM2010,B9_DC_PHSR,34,0.8662280701754387,0.8728638688234264,0.873568185228179,0.8169889496662641,0.928034471575836,0.9217929482370594,0.7525363630014793,0.1519262391355403,0.09553739786297848,0.3333333333333333,0.0,0.020539103709832265,0.11495476573877783,0.14056981778729907,0.6337060888497548,0.9482161215690981
PHM2010,B9_DC_PHSR,35,0.8410087719298245,0.8455254153831273,0.8338103680561949,0.77548492834697,0.9272809497462172,0.9209649209649209,0.6847211905351441,0.21429410382898592,0.10098470563586755,0.3333333333333333,0.0,0.0181309719870521,0.14255678929386154,0.16639147857227984,0.4579609382177858,0.9458161304552342
PHM2010,B9_DC_PHSR,36,0.7324561403508771,0.6590024966422133,0.6299264705882353,0.7590095485525339,0.588071470785871,0.7563256325632564,0.8490816397793143,0.01808785529715747,0.13283050492352708,0.3333333333333333,0.0,0.014511142457717332,0.15293341798676197,0.1762166499077218,0.3607635656597769,0.6109544338959707
PHM2010,B9_DC_PHSR,37,0.8629385964912281,0.8662777500563045,0.8449617858915124,0.8200071054267696,0.9338643588506316,0.8609016587799875,0.7984273914506472,0.11616161616161526,0.0854109923877358,1.0,0.0,0.019333410820392232,0.10741032814117142,0.1288318373593851,0.6881446945084734,0.8940136728202663
PHM2010,B9_DC_PHSR,38,0.8300438596491229,0.8340195111903648,0.8363980610645404,0.7540022570813069,0.9116582154252472,0.9250645994832042,0.6531102984591356,0.2140591966173345,0.13283050492352708,0.3333333333333333,0.0,0.021164947511693732,0.10662348059455966,0.1306586107561559,0.6864322031946108,0.9242357046561922
PHM2010,B9_DC_PHSR,39,0.8157894736842106,0.8143715910214038,0.8340238318008032,0.7052410552410553,0.903849886022353,0.9312022665681202,0.626164219187475,0.2218698614047434,0.15196591940777868,0.3333333333333333,0.0,0.0170618439910314,0.1286549498947245,0.1586293721544576,0.5298817864873518,0.9148710863120688
PHM2010,B9_DC_PHSR,40,0.8585526315789473,0.865075665733911,0.8791246593104178,0.8053696237530286,0.9107327141382869,0.9125863942377702,0.730328108235085,0.14159032182287887,0.12808156994203398,0.6666666666666666,0.0,0.020284795775431134,0.11754403738661989,0.13912035351869093,0.6433916371355867,0.8884352434481482
PHM2010,B9_DC_PHSR,41,0.8991228070175438,0.9040480451999778,0.8989266471259622,0.8692355980491575,0.9439818904248135,0.9264575163398693,0.8295351376746726,0.10377026074700411,0.06669460157832192,0.3333333333333333,0.0,0.019056879987331667,0.11320117909599807,0.13243843001450242,0.6745963393016959,0.906348459267895
PHM2010,B9_DC_PHSR,42,0.8837719298245615,0.8885374613499959,0.8795687134502924,0.8356372292103424,0.9504064413893528,0.9235658042744657,0.7787618485292903,0.14916607939863635,0.0720720720720714,0.0,0.0,0.015087731410729466,0.09775299835003019,0.11990543841189087,0.7325057134383622,0.9268936498494842
PHM2010,B9_DC_PHSR,43,0.8267543859649122,0.8315332150936983,0.8487219206814288,0.7525824409149869,0.8932952836846789,0.9051172384505718,0.6578005066377159,0.18827813013859382,0.15392136322368752,0.6666666666666666,0.3333333333333333,0.0205788425134035,0.1219977350352172,0.14530789635142513,0.6110404063021718,0.9162275551596377
