feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
ch6_std__rel,0.6966637404751019,2.0496002832743816,0.9560456253991322,0.7879194258339067,0.6088424637825727
ch4_band_power_q3__rel,0.7303730668172168,1.560957445501654,0.9184633878792356,0.20784938017552268,0.6081575411738296
ch5_q25__rel,0.7715455283396297,1.5692515054289853,0.8540642125437127,0.29365792786820316,0.6068411843379683
ch5_wp_energy_3__rel,0.7094608702641423,2.0328267783356853,0.961060352000736,0.8744562650859317,0.6035878589039054
ch2_rms__rel,0.6916378750564018,2.214544024937762,0.9577784489159207,1.0513320527028716,0.6031085356027366
ch2_band_power_q3__rel,0.8783003667015183,1.7294982062770243,0.8475993756402247,0.9529088641186373,0.6025668818186658
ch4_q75__rel,0.7309409243820617,1.6990756813041537,0.8931568244075688,0.4317762628394261,0.6008405119812994
ch6_rms__rel,0.7001898306282182,2.0885460938869227,0.9561563853682459,0.9390743920294243,0.6003569426202462
ch6_wp_energy_6__rel,0.7544957247202717,1.4889639597809423,0.900802344804157,0.2637739069796743,0.5994523723246707
ch6_wp_energy_4__rel,0.7072109619998739,1.7718400187997694,0.9317122241846931,0.5550002281811807,0.5950198308658922
ch2_mean_abs__rel,0.6784987426470221,2.17270266855773,0.954912177715203,1.0501587007409565,0.5921015038478743
ch6_band_power_q3__rel,0.7048605630952425,1.5849955178019064,0.9297238487391672,0.3254097696008934,0.5915439763611019
ch2_wp_energy_1__rel,0.6685890640480099,2.180517582392482,0.9590137765714397,1.0500903399110548,0.5899751596278975
ch2_q75__rel,0.6834652877377747,2.06546859874452,0.9493213011717347,0.9727088172963281,0.5864317054437846
ch4_wp_energy_4__rel,0.7252667142072573,1.8453572134461638,0.949234547298455,0.8570489622973451,0.584303002044715
ch2_wp_energy_2__rel,0.7612558566358616,1.7138581463954918,0.8466894398939675,0.6808644574672132,0.5825945499964079
ch2_spec_entropy__rel,0.7471010366852571,2.093693795366851,0.8865977327652251,1.205588505017349,0.5819740136414198
ch4_wp_energy_6__rel,0.7781774955433158,1.3892379571914462,0.8842942134075797,0.3771560568896052,0.5812597043280971
ch6_max__rel,0.774967416407756,1.2151388880784721,0.9176277861281004,0.1838745175316569,0.5808426029801859
ch2_skew__rel,0.6577498513997753,1.745051253157449,0.6918871550618064,0.1315704950312543,0.5787852212967088
ch6_q25__rel,0.727813073611558,1.4452238345994362,0.91081203275391,0.33262333801418836,0.5779192828123078
ch6_wp_energy_5__rel,0.7128232474527385,1.4430450580518892,0.9018678485070328,0.2602411589114946,0.5777677122063914
ch1_median__rel,0.6820990335387285,2.2766767350342767,0.546363612417943,0.7359870542360819,0.5776606707100249
ch6_wp_energy_2__rel,0.8058364591592344,1.703021106531562,0.8067697950258755,0.9391268662635799,0.5664291990761282
ch6_mean_abs__rel,0.6546556138985875,2.0250558133808543,0.9569978971335836,1.0210423953273424,0.566233147838292
ch6_ptp__rel,0.7342151878797987,1.5100363268867274,0.9478169400056443,0.6318392300149172,0.5647592099287206
ch2_ptp__rel,0.7210838031745133,1.8925113803764022,0.9490370387398678,1.1054135621374321,0.5641997325863128
ch5_dom_power__rel,0.6451998365919411,1.6618048575601065,0.8222721347029258,0.36983782223410466,0.5584559535807038
ch5_q75__rel,0.69982058744514,1.6907255288440104,0.8840216822204493,0.7218160475737627,0.557392860375743
ch4_wp_energy_1__rel,0.6909912085276371,2.0880262005322994,0.650815150515059,0.8835175245056426,0.5565103018062326
ch5_ptp__rel,0.7009735188624633,1.233386367168133,0.8900458424832235,0.1305256680757681,0.5561017720838044
ch2_band_power_q4__rel,0.7019689590371905,1.7657704003798047,0.7432328367436578,0.6573973935760175,0.5536763053103833
ch6_wp_energy_7__rel,0.615773198982585,1.720900779299738,0.7590748723259811,0.2938481648862832,0.5532610450780077
ch3_spec_entropy__rel,0.7659519426095684,2.075553843110524,0.8425851050384937,1.49384410637364,0.5513326488405941
ch6_iqr__rel,0.6407681764622319,1.9014284576940246,0.9554232426738922,0.9665366698632518,0.5494201822923952
ch2_wp_energy_ratio_5__rel,0.8159815537252684,1.6409710109496012,0.7721459886809973,1.0148406537852879,0.5491782588533344
ch6_band_power_q2__rel,0.6281766537748175,1.8306766733172317,0.9690879657621726,0.8947288093733734,0.5442619316459731
ch4_wp_energy_7__rel,0.6173523927985851,1.619211819349915,0.7475218515476322,0.2497644730142475,0.542808956869286
ch5_wp_energy_4__rel,0.6516503060101266,1.8442335962697038,0.9425108051734237,0.9872023271698358,0.5418694017771534
ch1_wp_energy_ratio_2__rel,0.6896501089739266,1.731127894867774,0.6549189813706734,0.5617423919953554,0.5405874161193044
ch2_shape_factor__rel,0.708020308343517,1.4584703199838391,0.7267513213396586,0.4091080009961824,0.5368531927519061
