feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch3_wp_energy_5__rel,0.2787530072701363,0.8519264770748349,0.6299805705213205,0.06373758760831291,0.9289837330971589
ch4_wp_energy_8__online_rank,0.3348810477342141,1.109576564589546,0.5188487435719064,0.3239233336739523,0.9287145922926419
ch5_wp_energy_7__online_rank,0.355463999756475,1.2606741964237203,0.4168276167956423,0.38489852180389256,0.9267870750866656
ch6_wp_energy_ratio_5__rel,0.32236850480233326,0.7764104902627036,0.6672713076132726,0.1918741992672519,0.9261922763182746
ch3_band_power_q2__rel,0.2952454014336754,0.8767737270606646,0.5954970890395141,0.09648121594924483,0.9253957194377727
ch2_wp_entropy__online_rank,0.30047175791775915,0.9401670604482795,0.5754344323259623,0.1449709973632572,0.9253264935685721
ch5_min__rel,0.2995092681850722,0.6526513022504354,0.6713280554255564,0.006514409831803746,0.9248385378341565
ch6_rms_freq__rel,0.2988664775485377,0.9911959848150431,0.6795670440577448,0.3563590679896307,0.9247079204240456
ch6_mean_abs__rel,0.27484166849966796,1.0487464801544006,0.5517522986004568,0.1376409315630033,0.9246765415868751
ch6_q25__online_rank,0.3381584011241152,0.6440166240052458,0.6401155328179424,0.07314081990731225,0.9238443157206718
ch4_median__rel,0.48407033887748874,1.1275208332550704,0.34201170075579373,0.5474676598788965,0.923602418862585
ch6_var__rel,0.26026567224116004,1.0657314567187974,0.5724170638725377,0.14808987882695995,0.9222961768573149
ch7_wp_energy_ratio_8__rel,0.4777239428791311,1.5076721490244687,0.5897217855083748,1.310474892812302,0.9188623588709088
ch6_band_power_q3__rel,0.34779290168577726,0.8328090144439124,0.5664486220554821,0.1925088159176237,0.9182240034690712
ch1_spec_entropy__online_rank,0.413695271421167,1.5292945144760823,0.07604819874099968,0.3378548692659113,0.9138951836943934
ch3_shape_factor__online_rank,0.3055338324586214,1.052174216799623,0.7368581663213069,0.561628536699257,0.9130501952163304
ch3_wp_energy_7__rel,0.28232006208774574,0.8510945289465139,0.6207801094997778,0.10660281106843565,0.9125532297787255
ch6_wp_energy_max_ratio__rel,0.2929968501160878,0.9614166561994222,0.7332227818924578,0.43173384851125923,0.9109580478594053
ch1_wp_energy_ratio_1__rel,0.5187202675054106,1.1720674425624558,0.018927270750431553,0.23232562735706103,0.9099119284905771
ch1_wp_energy_max_ratio__rel,0.5187202675054106,1.1720674425624558,0.018927270750431553,0.23232562735706103,0.9099119284905771
ch2_wp_energy_ratio_1__online_rank,0.3120146907878323,0.8655964349707634,0.6067745258071361,0.2050152376267272,0.9081455681309529
ch1_wp_energy_3__rel,0.3373527230692004,1.052435076454866,0.3587916342778628,0.0907480502975838,0.9050138533839938
ch2_wp_energy_max_ratio__online_rank,0.30840960866263556,0.8637090328140218,0.6067745258071361,0.2050152376267272,0.9035193870383771
ch5_band_ratio_q4_q1__rel,0.31394397748374026,1.42901912981617,0.17001358580097128,0.12067161070103338,0.8967674791129464
ch4_band_ratio_q4_q1__online_rank,0.34424584853697726,1.1853664396853114,0.3312373646960146,0.2260730278142274,0.8966036781283624
ch5_median__online_rank,0.34957688570810697,0.7950571111330489,0.4448789572528977,0.039926608923676624,0.8935136765412918
ch7_wp_energy_ratio_7__rel,0.4379159286571985,1.4451139702556532,0.5905040893227845,1.1981025685370912,0.8929387612519466
ch6_band_ratio_q4_q1__rel,0.3420373593067325,1.5756729211728353,0.19051001136802187,0.39881374224174976,0.8929223141156977
ch6_wp_energy_max_ratio__online_rank,0.3070994649511918,0.8984671248818845,0.7351513876555404,0.49649986349069275,0.8828312161437755
ch3_rms__rel,0.2595854213679192,1.0196277101213482,0.5009023162726981,0.10802427383825494,0.8801014401537778
ch6_total_power__rel,0.23570069416980965,1.0274816125006283,0.5700782154839631,0.15072476004032434,0.8796786804640767
ch1_std__slope,0.41217305895764267,0.5734575430856101,0.4132758866285513,0.004966923908168761,0.8796638192112146
ch5_ptp__rel,0.2819627863892724,0.653054011148551,0.6674512262398129,0.07762146363815789,0.8786586310887343
ch7_q75__rel,0.3448796859591272,1.0739136039078758,0.25906875875062524,0.05550918370916808,0.8782970189374315
ch6_band_power_q4__online_rank,0.2802788935681306,1.2354448684354158,0.3657548814131141,0.1860012525698982,0.8767772332550877
ch6_wp_energy_6__rel,0.2982461220906665,0.7946050388427417,0.5823578726973506,0.14304105782462306,0.8764149576396176
