Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND052,2026,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",B10,0.363636364,0.385752954,0.386243386,0.588235294,0.296296296,0.272727273,0.5,0.444444444,0.214285714,0.222222222,0.111111111,0.444444444,0.4,0.714285714,3,0,0.177543361,3,3,20,tiny_L3_k20,0.531199516
bestcase_candidate,CAND103,2026,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",B12,0.375,0.385095034,0.421855922,0.344827586,0.588235294,0.222222222,0.384615385,0.714285714,0.166666667,0.5,0.285714286,0.0,0.307692308,0.083333333,3,0,0.113462988,3,5,20,b11_sample_05,0.501067802
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B10,0.516129032,0.376068376,0.414141414,0.666666667,0.0,0.461538462,0.909090909,0.0,0.333333333,0.0,0.5,0.5,0.0,0.222222222,1,3,0.05624685,3,3,20,tiny_L3_k20,0.598094691
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",B9,0.5,0.374941561,0.402597403,0.0,0.516129032,0.608695652,0.0,0.571428571,0.636363636,0.470588235,0.071428571,0.357142857,1.0,0.363636364,0,0,0.251058177,3,4,30,small_L4_k30,0.630524547
bestcase_candidate,CAND186,2026,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",B9,0.346153846,0.363826232,0.529100529,0.5,0.380952381,0.210526316,1.0,0.444444444,0.142857143,0.333333333,0.222222222,0.333333333,0.0,0.571428571,3,3,0.126322182,3,4,30,small_L4_k30,0.546526226
bestcase_candidate,CAND235,2026,"3,4,5,6,11,13,14,15,16","1,7,12","2,8,9,10",B9,0.407407407,0.363756614,0.517156863,0.583333333,0.222222222,0.285714286,0.875,0.5,0.176470588,0.142857143,0.5,0.0,0.0,0.352941176,1,1,0.073714863,3,4,30,small_L4_k30,0.604482843
bestcase_candidate,CAND103,2026,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",B11,0.34375,0.359064327,0.374236874,0.333333333,0.533333333,0.210526316,0.384615385,0.571428571,0.166666667,0.5,0.428571429,0.0,0.230769231,0.083333333,2,0,0.223681695,3,5,20,b11_sample_05,0.615999244
bestcase_candidate,CAND207,2026,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",B11,0.46875,0.355618777,0.388888889,0.0,0.540540541,0.526315789,0.0,0.666666667,0.5,0.454545455,0.066666667,0.266666667,1.0,0.5,2,0,0.425369541,3,3,45,b11_sample_01,0.635927657
bestcase_candidate,CAND207,2026,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",B12,0.46875,0.355618777,0.388888889,0.0,0.540540541,0.526315789,0.0,0.666666667,0.5,0.454545455,0.066666667,0.266666667,1.0,0.5,2,0,0.279158772,3,3,45,b11_sample_01,0.559224005
bestcase_candidate,CAND110,2026,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",B9,0.461538462,0.354925776,0.387820513,0.526315789,0.0,0.538461538,0.625,0.0,0.538461538,0.0,0.2,0.8,0.125,0.076923077,1,1,0.089211487,3,5,30,small_L5_k30,0.599702236
bestcase_candidate,CAND198,2026,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",B9,0.413793103,0.353174603,0.5,0.583333333,0.476190476,0.0,1.0,0.5,0.0,0.454545455,0.4,0.1,0.0,0.5,1,1,0.098585831,3,4,30,small_L4_k30,0.474470629
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",B11,0.382352941,0.347033055,0.365715983,0.2,0.322580645,0.518518519,0.166666667,0.294117647,0.636363636,0.357142857,0.176470588,0.529411765,0.833333333,0.363636364,0,0,0.393570827,3,3,60,b11_sample_03,0.644624476
bestcase_candidate,CAND052,2026,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",B9,0.363636364,0.346616066,0.333333333,0.588235294,0.0,0.451612903,0.5,0.0,0.5,0.0,0.111111111,0.888888889,0.3,0.428571429,2,2,0.226611229,3,3,20,tiny_L3_k20,0.606933483
