feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_z__band4_energy_ratio__rank,0.23860122630325198,0.494645686038254,0.4886547945452169,0.06456777519162991,0.982324264727541,domain_id,True,66,0.8332702586233011
position_control_deviation_axis_x__spectral_rolloff95__rank,0.38004605921780454,1.401789164175899,0.11275732761681839,1.4000753928319685,0.9819060905757973,domain_id,True,67,0.4313190327414502
force_sensor_x__skewness__rel,0.32050703603128095,1.2413318862546725,0.19609209396458013,0.9158979226567948,0.977442594670038,domain_id,True,68,0.8719001830612279
force_sensor_z__std__rel,0.19193663237845815,0.8715367357134065,0.46761783912799143,0.6809346152964723,0.9668176846838251,domain_id,False,69,
force_sensor_y__spectral_entropy__rank,0.3246344408915198,1.0902022045515922,0.2692995829987146,1.2619441753088116,0.966802808399008,domain_id,False,70,
force_sensor_y__spectral_rms__rel,0.3795845383622154,1.4249508923369536,0.06630438469118025,1.225899207865414,0.961137136557198,domain_id,False,71,
force_sensor_y__abs_mean__rel,0.3305630648461302,1.3811233260611533,0.1268528923407921,1.1095000469759373,0.9512900804908617,domain_id,False,72,
force_sensor_z__variance__rel,0.18711461837221144,0.8518032839816652,0.4606330856626201,0.6805606355233919,0.9462974568796265,domain_id,False,73,
force_sensor_y__rms__rel,0.28107414404909914,1.3823583386279137,0.1838369966117151,1.0776837295149655,0.9443930142102896,domain_id,False,74,
force_sensor_z__dominant_freq__rank,0.3281780196907609,1.199310518151118,0.1482943092606356,0.7719996060217772,0.9402201149695613,domain_id,False,75,
force_sensor_y__total_power__rel,0.33978376083707595,1.3435064083504558,0.1240378616692805,1.2770324423635497,0.9303350011184435,domain_id,False,76,
force_sensor_y__variance__rel,0.3153484192302911,1.376317826813394,0.1442091581226418,1.2761863780954583,0.9288171052551139,domain_id,False,77,
force_sensor_z__std__rank,0.18492117382852702,0.7819926870947413,0.46865538964897646,0.6834713575370611,0.9263089589240597,domain_id,False,78,
torque_spindle__dominant_freq__rel,0.26426416959104904,0.965455191713954,0.25389921489797995,0.3007472664404646,0.9247236101337624,domain_id,False,79,
force_sensor_z__variance__rank,0.18293705483100986,0.7842871047272562,0.46865538964897646,0.6834713575370611,0.9244097712007499,domain_id,False,80,
force_sensor_y__std__rel,0.3434209767273033,1.4271320402747034,0.07691605952640951,1.2169499169006213,0.9240334873799935,domain_id,False,81,
force_sensor_x__rms__rank,0.1804349326857866,0.689160209722679,0.5572731586189509,1.3237530196714151,0.9093404439657672,domain_id,False,82,
force_sensor_x__energy__rank,0.17820362641073317,0.6902370437379677,0.5572825332442153,1.322884936876848,0.9067721496847952,domain_id,False,83,
position_control_deviation_axis_y__spectral_rolloff95__rel,0.31711590849479654,1.3325260924319622,0.054174466427249206,0.5747887407430057,0.898649670377401,domain_id,False,84,
force_sensor_x__spectral_rms__rank,0.3699514292739694,1.0336042961010614,0.10107281978148369,0.7288926374456167,0.8959117802731187,domain_id,False,85,
force_sensor_x__total_power__rank,0.3696084151408672,1.0317419694139507,0.10089366708803207,0.7285416449450539,0.8946411962910407,domain_id,False,86,
position_control_deviation_axis_x__std__rel,0.29783158954321975,0.8222727124693368,0.2992023514038478,1.0552665801628605,0.8867373361632843,domain_id,False,87,
force_sensor_z__total_power__rank,0.16613609357529713,0.6503776382115971,0.483960813688168,0.5233821317573498,0.8860077579190612,domain_id,False,88,
force_sensor_z__spectral_rms__rel,0.163718484592837,0.6710239929278607,0.4800182649778322,0.5243462577215308,0.8859693563150601,domain_id,False,89,
force_sensor_z__spectral_rms__rank,0.16529049816140384,0.6456991713252074,0.4836057611938076,0.5226073898028419,0.8829217399345454,domain_id,False,90,
force_sensor_x__band2_energy_ratio__rel,0.23637002403276153,0.513260901377099,0.3971196449571942,0.1891199304377494,0.8813745678027961,domain_id,False,91,
force_sensor_z__crest_factor__rel,0.29477037054377364,0.8442299938005382,0.244177799534877,0.6312200905684778,0.8794070626895617,domain_id,False,92,
force_sensor_y__skewness__rel,0.2134294808405004,1.2856697325911868,0.2478393070733054,1.1012294649124112,0.879283979623886,domain_id,False,93,
force_sensor_x__skewness__rank,0.29293683697611383,0.8707221389463937,0.26457047740229583,0.9193777366918162,0.8767000849139018,domain_id,False,94,
force_sensor_y__dominant_amp__rel,0.36358548926953693,1.4435421684993872,0.028399909309895065,1.5396489590506364,0.8753170569723718,domain_id,False,95,
position_control_deviation_axis_x__variance__rel,0.28307627576315153,0.8392307719924381,0.29666998582121307,1.0156324524478122,0.8741665204055523,domain_id,False,96,
